time P_D P_L P_R P_V P_{tot}
1.000000000000000082e-05 0.000000000000000000e+00 0.000000000000000000e+00 3.342290670719096200e-32 3.656386560920000419e-16 0.000000000000000000e+00
1.000100000000000017e-01 -4.009699320190912020e-45 8.610665810782433538e-02 9.055915395847104546e-03 -9.516257350372855917e-02 0.000000000000000000e+00
2.000099999999999933e-01 -1.296901568620117009e-46 1.484107028299853082e-01 3.285853748401468266e-02 -1.812692403139999908e-01 0.000000000000000000e+00
3.000099999999999989e-01 -1.022674117539992358e-46 1.920065835818986766e-01 6.717519364810135840e-02 -2.591817772300000211e-01 0.000000000000000000e+00
4.000099999999999767e-01 -8.538116379300377611e-46 2.209910817575127528e-01 1.086888717344872968e-01 -3.296799534919999664e-01 0.000000000000000000e+00
5.000099999999999545e-01 1.138940880957399026e-45 2.386512178588906519e-01 1.548181192261093297e-01 -3.934693370849999816e-01 0.000000000000000000e+00
6.000100000000000433e-01 -3.474502971574638703e-45 2.476174240121576942e-01 2.035709381558423459e-01 -4.511883621679999568e-01 0.000000000000000000e+00
7.000100000000000211e-01 -1.761524144532101187e-44 2.499883398568071569e-01 2.534263553261927870e-01 -5.034146951829999717e-01 0.000000000000000000e+00
8.000099999999999989e-01 3.373583417355222627e-44 2.474324460544418680e-01 3.032385905005581805e-01 -5.506710365550000486e-01 0.000000000000000000e+00
9.000099999999999767e-01 8.215564177606460184e-43 2.412707713454055880e-01 3.521595698555615161e-01 -5.934303411950327956e-01 0.000000000000000000e+00
1.000010000000000066e+00 2.257848285511816625e-42 2.325441573852312649e-01 3.995764035517220814e-01 -6.321205609250466484e-01 0.000000000000000000e+00
1.100009999999999932e+00 -2.858944919990287364e-41 2.220679245099357324e-01 4.450609939123222336e-01 -6.671289186197419951e-01 0.000000000000000000e+00
1.200010000000000021e+00 -2.149252488365578272e-40 2.104762567466600398e-01 4.883295333534462546e-01 -6.988057918078935948e-01 0.000000000000000000e+00
1.300010000000000110e+00 -2.649626991757211437e-41 1.982582138228752566e-01 5.292099949819980553e-01 -7.274682090471266127e-01 0.000000000000000000e+00
1.400009999999999977e+00 -7.120006166435727679e-41 1.857868999666857923e-01 5.676161377414629117e-01 -7.534030384578513928e-01 0.000000000000000000e+00
1.500010000000000066e+00 -2.780829516544021283e-40 1.733430892476462148e-01 6.035267508917097068e-01 -7.768698434906440298e-01 0.000000000000000000e+00
1.600009999999999932e+00 -4.325735696967316847e-41 1.611343128346527931e-01 6.369691704259133891e-01 -7.981034838534337705e-01 0.000000000000000000e+00
1.700010000000000021e+00 -1.516630030172180847e-40 1.493102520709506387e-01 6.680062242769491121e-01 -8.173164787061002468e-01 0.000000000000000000e+00
1.800010000000000110e+00 -2.465530447533589641e-41 1.379751647491426758e-01 6.967259480634716562e-01 -8.347011132473858286e-01 0.000000000000000000e+00
1.900009999999999977e+00 2.002671242831320330e-41 1.271978465334838160e-01 7.232335358748249732e-01 -8.504313820116913281e-01 0.000000000000000000e+00
2.000010000000000066e+00 3.365912624975111374e-41 1.170196437085000013e-01 7.476450747511631523e-01 -8.646647177103368165e-01 0.000000000000000000e+00
2.100010000000000154e+00 -9.638191294695684397e-42 1.074608505943700359e-01 7.700827220028758635e-01 -8.775435728407540159e-01 0.000000000000000000e+00
2.200009999999999799e+00 2.376952000350873266e-41 9.852581794058698494e-02 7.906710250676485252e-01 -8.891968423417644374e-01 0.000000000000000000e+00
2.300009999999999888e+00 -3.834746737984673878e-41 9.020700693782661428e-02 8.095341493855602311e-01 -8.997411575306131226e-01 0.000000000000000000e+00
2.400009999999999977e+00 5.909420809976295318e-42 8.248820557927027952e-02 8.267938421531169091e-01 -9.092820475236128575e-01 0.000000000000000000e+00
2.500010000000000066e+00 1.950602377154503962e-41 7.534705205220820767e-02 8.425679495913849237e-01 -9.179150008784069392e-01 0.000000000000000000e+00
2.600010000000000154e+00 -8.546991137187193118e-43 6.875701712781495667e-02 8.569694007035413286e-01 -9.257264178706436919e-01 0.000000000000000000e+00
2.700009999999999799e+00 5.833046024774312234e-43 6.268893672382779003e-02 8.701055448735633968e-01 -9.327944815686088909e-01 0.000000000000000000e+00
2.800009999999999888e+00 2.078279943950748334e-42 5.711220358717242207e-02 8.820777285730295736e-01 -9.391899320477981039e-01 0.000000000000000000e+00
2.900009999999999977e+00 5.401404216452618143e-42 5.199567160517759579e-02 8.929811015869816293e-01 -9.449767728678408751e-01 0.000000000000000000e+00
3.000010000000000066e+00 6.651490466039999827e-01 -6.651490466039999827e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000010000000000066e+00 6.651490466039999827e-01 -6.651490466039999827e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.100010000000000154e+00 6.161490466039999392e-01 -6.161490466039999392e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.200009999999999799e+00 5.671490466039998957e-01 -5.671490466039998957e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.300009999999999888e+00 5.181490466039999632e-01 -5.181490466039999632e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.400009999999999977e+00 4.691490466039999196e-01 -4.691490466039999196e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.500010000000000066e+00 4.201490466039999871e-01 -4.201490466039999871e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.600010000000000154e+00 3.711490466039999436e-01 -3.711490466039999436e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.700009999999999799e+00 3.221490466039999556e-01 -3.221490466039999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.800009999999999888e+00 2.731490466039999676e-01 -2.731490466039999676e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.900009999999999977e+00 2.241490466039999796e-01 -2.241490466039999796e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000009999999999621e+00 1.751490466039999638e-01 -1.751490466039999638e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.100010000000000154e+00 1.261490466040000036e-01 -1.261490466040000036e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.200009999999999799e+00 7.714904660399998781e-02 -7.714904660399998781e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.300010000000000332e+00 2.814904660386000068e-02 -2.814904660386000068e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.357457033890000275e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.357457033890000275e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.457457033889999920e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.557457033889999565e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.657457033890000098e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.757457033889999742e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.857457033890000275e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.957457033889999920e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.057457033889999565e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.157457033890000098e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.257457033889999742e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.357457033890000275e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.457457033889999920e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.557457033889999565e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.657457033890000098e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.757457033889999742e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.857457033890000275e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.957457033889999920e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
