time P_1 P_2 P_{tot}
1.000000000000000082e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000999999999999980e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.001000000000000001e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000999999999999848e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000999999999999696e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000999999999999890e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.001000000000000084e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.001000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000999999999999779e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.001000000000000667e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000100000000000017e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100099999999999967e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200100000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300099999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400099999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500100000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600100000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700099999999999945e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800100000000000033e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.900100000000000122e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000099999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.100100000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.200100000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.300099999999999922e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.400100000000000011e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500100000000000100e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.600100000000000189e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.700099999999999723e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.800099999999999811e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.900099999999999900e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
