time	i_C	u_C	i_D	u_D	i_L	u_L
1.40001	1.15541687959	0.815482586478	1.15541687964	0.	1.15541687959	-0.815482586501
1.41001	1.14720441933	0.826995788876	1.14720441886	0.	1.14720441917	-0.826995788462
1.42001	1.13887723949	0.838426292367	1.13887723873	0.	1.13887723924	-0.83842629171
1.43001	1.13043617278	0.849772953945	1.13043617215	0.	1.13043617258	-0.849772953406
1.44001	1.12188206332	0.861034638954	1.12188206324	0.	1.12188206331	-0.861034638899
1.45001	1.11321576664	0.872210221188	1.11321576685	0.	1.11321576673	-0.872210221389
1.46001	1.10443814937	0.883298583135	1.1044381498	0.	1.10443814953	-0.883298583516
1.47001	1.09555008936	0.894298615989	1.09555008971	0.	1.09555008947	-0.894298616286
1.48001	1.08655247513	0.905209219706	1.08655247567	0.	1.0865524753	-0.905209220167
1.49001	1.07744620655	0.916029303276	1.07744620732	0.	1.0774462068	-0.916029303942
1.50001	1.06823219423	0.92675778473	1.0682321953	0.	1.06823219462	-0.92675778569
1.51001	1.05891135965	0.937393591185	1.05891136085	0.	1.05891136011	-0.937393592264
1.52001	1.04948463499	0.947935659067	1.04948463591	0.	1.04948463534	-0.947935659903
1.53001	1.039952963	0.958382934213	1.03995296315	0.	1.03995296301	-0.958382934311
1.54001	1.03031729677	0.968734371893	1.03031729579	0.	1.03031729629	-0.968734370926
1.55001	1.02057859936	0.978988936894	1.02057859779	0.	1.02057859863	-0.978988935371
1.56001	1.01073784463	0.989145603798	1.01073784313	0.	1.01073784394	-0.989145602357
1.57001	1.00079601643	0.999203356943	1.00079601618	0.	1.00079601631	-0.99920335669
1.58001	0.99075410966	1.00916119054	0.990754110099	0.	0.990754109854	-1.00916119095
1.59001	0.980613128359	1.01901810883	0.980613129334	0.	0.980613128795	-1.01901810976
1.60001	0.970374086899	1.02877312617	0.970374087709	0.	0.970374087259	-1.02877312694
1.61001	0.960038008837	1.03842526701	0.960038009415	0.	0.96003800909	-1.03842526756
1.62001	0.949605927753	1.04797356617	0.94960592809	0.	0.949605927896	-1.04797356648
1.63001	0.939078886996	1.05741706887	0.939078886862	0.	0.939078886931	-1.05741706874
1.64001	0.928457939203	1.06675483078	0.92845793851	0.	0.928457938894	-1.06675483012
1.65001	0.917744146279	1.07598591809	0.917744145276	0.	0.91774414583	-1.07598591713
1.66001	0.906938579523	1.08510940776	0.906938578767	0.	0.906938579175	-1.08510940703
1.67001	0.89604231937	1.09412438751	0.896042319756	0.	0.896042319511	-1.09412438785
1.68001	0.885056455909	1.10302995567	0.885056456901	0.	0.885056456313	-1.10302995659
1.69001	0.873982087663	1.11182522176	0.873982088959	0.	0.873982088204	-1.11182522296
1.70001	0.862820322275	1.12050930623	0.862820323035	0.	0.862820322599	-1.12050930695
1.71001	0.851572275544	1.12908134069	0.851572275777	0.	0.851572275653	-1.12908134091
1.72001	0.840239072219	1.13754046791	0.840239072047	0.	0.840239072161	-1.13754046776
1.73001	0.828821845644	1.14588584202	0.828821845161	0.	0.828821845449	-1.14588584158
1.74001	0.817321737503	1.15411662847	0.817321736835	0.	0.817321737214	-1.15411662784
1.75001	0.805739897809	1.16223200413	0.805739896912	0.	0.805739897414	-1.16223200328
1.76001	0.794077484659	1.17023115752	0.794077483783	0.	0.794077484267	-1.17023115668
1.77001	0.782335664241	1.17811328877	0.782335663803	0.	0.782335664043	-1.17811328836
1.78001	0.770515610792	1.18587760966	0.770515611024	0.	0.770515610893	-1.18587760988
1.79001	0.758618506463	1.19352334368	0.75861850713	0.	0.758618506754	-1.19352334431
1.80001	0.746645541027	1.20104972636	0.746645541892	0.	0.746645541405	-1.20104972718
1.81001	0.734597911962	1.20845600513	0.734597912464	0.	0.734597912182	-1.20845600561
1.82001	0.722476823852	1.21574143933	0.722476823731	0.	0.7224768238	-1.21574143921
1.83001	0.710283488437	1.2229053003	0.710283488079	0.	0.710283488283	-1.22290529996
1.84001	0.698019125243	1.22994687179	0.698019124762	0.	0.698019125037	-1.22994687134
1.85001	0.68568496064	1.23686544969	0.68568496036	0.	0.685684960519	-1.23686544943
1.86001	0.673282228084	1.2436603421	0.673282228118	0.	0.673282228098	-1.24366034213
1.87001	0.660812167934	1.25033086943	0.660812168034	0.	0.660812167977	-1.25033086952
1.88001	0.648276027151	1.25687636473	0.648276027287	0.	0.648276027209	-1.25687636486
1.89001	0.635675059392	1.26329617352	0.63567505947	0.	0.635675059426	-1.26329617359
1.90001	0.623010524672	1.26958965374	0.623010524668	0.	0.62301052467	-1.26958965374
1.91001	0.610283689343	1.27575617597	0.610283689331	0.	0.610283689338	-1.27575617596
1.92001	0.597495826163	1.28179512366	0.597495826147	0.	0.597495826156	-1.28179512364
1.93001	0.584648213934	1.28770589297	0.584648213926	0.	0.584648213931	-1.28770589296
1.94001	0.571742137365	1.29348789275	0.571742137365	0.	0.571742137365	-1.29348789275
1.95001	0.558778887012	1.29914054472	0.558778887012	0.	0.558778887012	-1.29914054472
1.96001	0.545759759246	1.30466328373	0.545759759246	0.	0.545759759246	-1.30466328373
1.97001	0.532686056005	1.31005555759	0.532686056005	0.	0.532686056005	-1.31005555759
1.98001	0.519559084597	1.31531682696	0.519559084597	0.	0.519559084597	-1.31531682696
1.99001	0.506380157667	1.32044656563	0.506380157667	0.	0.506380157667	-1.32044656563
2.00001	0.493150593158	1.32544426078	0.493150593158	0.	0.493150593158	-1.32544426078
2.01001	0.47987171405	1.33030941269	0.47987171405	0.	0.47987171405	-1.33030941269
2.02001	0.466544848169	1.33504153475	0.466544848169	0.	0.466544848169	-1.33504153475
2.03001	0.453171328155	1.33964015367	0.453171328155	0.	0.453171328155	-1.33964015367
2.04001	0.439752491402	1.34410480972	0.439752491402	0.	0.439752491402	-1.34410480972
2.05001	0.426289679811	1.3484350565	0.426289679811	0.	0.426289679811	-1.3484350565
2.06001	0.412784239605	1.35263046088	0.412784239605	0.	0.412784239605	-1.35263046088
2.07001	0.39923752129	1.35669060324	0.39923752129	0.	0.39923752129	-1.35669060324
2.08001	0.38565087957	1.3606150777	0.38565087957	0.	0.38565087957	-1.3606150777
2.09001	0.372025673121	1.36440349188	0.372025673121	0.	0.372025673121	-1.36440349188
2.10001	0.358363264408	1.36805546681	0.358363264408	0.	0.358363264408	-1.36805546681
2.11001	0.344665019643	1.37157063724	0.344665019643	0.	0.344665019643	-1.37157063724
2.12001	0.330932308675	1.37494865178	0.330932308675	0.	0.330932308675	-1.37494865178
2.13001	0.317166504786	1.3781891727	0.317166504786	0.	0.317166504786	-1.3781891727
2.14001	0.303368984503	1.3812918758	0.303368984503	0.	0.303368984503	-1.3812918758
2.15001	0.289541127552	1.38425645079	0.289541127552	0.	0.289541127552	-1.38425645079
2.16001	0.275684316741	1.3870826013	0.275684316741	0.	0.275684316741	-1.3870826013
2.17001	0.26179993776	1.38977004481	0.26179993776	0.	0.26179993776	-1.38977004481
2.18001	0.247889378996	1.39231851242	0.247889378996	0.	0.247889378996	-1.39231851242
2.19001	0.233954031482	1.39472774926	0.233954031482	0.	0.233954031482	-1.39472774926
2.20001	0.219995288772	1.39699751452	0.219995288772	0.	0.219995288772	-1.39699751452
2.21001	0.206014546747	1.39912758129	0.206014546747	0.	0.206014546747	-1.39912758129
2.22001	0.192013203431	1.40111773641	0.192013203431	0.	0.192013203431	-1.40111773641
2.23001	0.177992658943	1.40296778085	0.177992658943	0.	0.177992658943	-1.40296778085
2.24001	0.163954315348	1.40467752971	0.163954315348	0.	0.163954315348	-1.40467752971
2.25001	0.149899576483	1.40624681209	0.149899576483	0.	0.149899576483	-1.40624681209
2.26001	0.135829847781	1.4076754709	0.135829847781	0.	0.135829847781	-1.4076754709
2.27001	0.121746536198	1.40896336326	0.121746536198	0.	0.121746536198	-1.40896336326
2.28001	0.107651050073	1.41011036049	0.107651050073	0.	0.107651050073	-1.41011036049
2.29001	0.0935447989539	1.41111634796	0.0935447989539	0.	0.0935447989539	-1.41111634796
2.30001	0.0794291934282	1.41198122491	0.0794291934282	0.	0.0794291934282	-1.41198122491
2.31001	0.0653056450442	1.41270490484	0.0653056450442	0.	0.0653056450442	-1.41270490484
2.32001	0.0511755661585	1.41328731549	0.0511755661585	0.	0.0511755661585	-1.41328731549
2.33001	0.0370403697754	1.41372839869	0.0370403697754	0.	0.0370403697754	-1.41372839869
2.34001	0.0229014693836	1.41402811016	0.0229014693836	0.	0.0229014693836	-1.41402811016
2.35001	0.00876027886189	1.41418641992	0.00876027886189	0.	0.00876027886189	-1.41418641992
2.35620449224	1.33815714874e-19	inf	1.33815714868e-19	-1.41421355258	1.65349467068e-19	-4.95160579206e-10
2.35620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	0.
2.36620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.95759134026e-54
2.37620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	-7.10399912376e-66
2.38620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.41282358262e-64
