time	t_1	o_1	t_2	o_2	armean
1e-05	0.	3.	0.	5.	3.75
0.01001	0.	2.99161174773	0.	4.98336107662	3.73851774606
0.02001	0.	2.98324694928	0.	4.96677752274	3.72707091433
0.03001	0.	2.97490554152	0.	4.95024916102	3.71565939883
0.04001	0.	2.96658745752	0.	4.93377580351	3.70428308727
0.05001	0.	2.95829263153	0.	4.91735726563	3.69294186932
0.06001	0.	2.95002099823	0.	4.90099336416	3.68163563545
0.07001	0.	2.94177249295	0.	4.88468391779	3.67036427726
0.08001	0.	2.93354705106	0.	4.8684287454	3.65912768644
0.09001	0.	2.92534460823	0.	4.85222766685	3.64792575521
0.10001	0.	2.91716510032	0.	4.83608050267	3.6367583762
0.11001	0.	2.90900846305	0.	4.81998707296	3.62562544177
0.12001	0.	2.90087463272	0.	4.80394719972	3.61452684535
0.13001	0.	2.89276354516	0.	4.78796070332	3.60346247947
0.14001	0.	2.88467513688	0.	4.77202740655	3.59243223801
0.15001	0.	2.87660934472	0.	4.75614713317	3.58143601539
0.16001	0.	2.86856610476	0.	4.74031970447	3.57047370465
0.17001	0.	2.8605453549	0.	4.72454494781	3.55954520224
0.18001	0.	2.85254703148	0.	4.7088226853	3.54865040167
0.19001	0.	2.84457107196	0.	4.69315274278	3.53778919852
0.20001	0.	2.83661741414	0.	4.6775349473	3.52696148908
0.21001	0.	2.82868599496	0.	4.66196912295	3.51616716796
0.22001	0.	2.8207767529	0.	4.64645509898	3.50540613268
0.23001	0.	2.81288962563	0.	4.63099270199	3.49467827926
0.24001	0.	2.80502455128	0.	4.61558176001	3.48398350455
0.25001	0.	2.79718146814	0.	4.60022210164	3.4733217057
0.26001	0.	2.78936031466	0.	4.58491355604	3.46269278018
0.27001	0.	2.78156102985	0.	4.56965595419	3.45209662648
0.28001	0.	2.77378355243	0.	4.55444912616	3.44153314258
0.29001	0.	2.76602782148	0.	4.53929290313	3.4310022271
0.30001	0.	2.75829377625	0.	4.52418711693	3.420503779
0.31001	0.	2.75058135604	0.	4.50913159943	3.41003769731
0.32001	0.	2.74289050028	0.	4.49412618303	3.39960388131
0.33001	0.	2.73522114878	0.	4.47917070138	3.38920223101
0.34001	0.	2.72757324145	0.	4.46426498839	3.37883264655
0.35001	0.	2.71994671835	0.	4.44940887854	3.36849502842
0.36001	0.	2.7123415196	0.	4.43460220645	3.35818927717
0.37001	0.	2.70475758563	0.	4.41984480782	3.34791529395
0.38001	0.	2.69719485702	0.	4.40513651873	3.33767298016
0.39001	0.	2.68965327446	0.	4.39047717581	3.32746223747
0.40001	0.	2.68213277883	0.	4.37586661607	3.3172829678
0.41001	0.	2.67463331111	0.	4.36130467705	3.30713507334
0.42001	0.	2.66715481255	0.	4.34679119707	3.29701845674
0.43001	0.	2.6596972245	0.	4.33232601487	3.28693302089
0.44001	0.	2.65226048852	0.	4.31790896974	3.27687866898
0.45001	0.	2.64484454626	0.	4.30353990138	3.26685530443
0.46001	0.	2.63744933961	0.	4.28921865018	3.25686283107
0.47001	0.	2.63007481057	0.	4.27494505705	3.246901153
0.48001	0.	2.62272090135	0.	4.26071896339	3.23697017461
0.49001	0.	2.61538755427	0.	4.2465402111	3.22706980058
0.50001	0.	2.60807471183	0.	4.23240864257	3.21719993586
0.51001	0.	2.60078231671	0.	4.21832410084	3.20736048576
0.52001	0.	2.59351031174	0.	4.20428642945	3.19755135588
0.53001	0.	2.58625863992	0.	4.19029547246	3.18777245212
