time	i_D	u_D	u_L	i_L
1e-05	0.	-1.	1.	0.
0.10001	-7.14881905592e-45	-0.904837426496	0.904837426496	0.0951625735037
0.20001	4.84471259343e-46	-0.818730759686	0.818730759686	0.181269240314
0.30001	-2.10627531357e-46	-0.74081822277	0.74081822277	0.25918177723
0.40001	-1.44233514929e-45	-0.670320046508	0.670320046508	0.329679953492
0.50001	1.05604060099e-45	-0.606530662915	0.606530662915	0.393469337085
0.60001	-4.12664213667e-45	-0.548811637832	0.548811637832	0.451188362168
0.70001	-2.2013718502e-44	-0.496585304817	0.496585304817	0.503414695183
0.80001	4.66371254237e-44	-0.449328963445	0.449328963445	0.550671036555
0.90001	1.255192157e-42	-0.4065696588	0.4065696588	0.593430341198
1.00001	3.81239585229e-42	-0.367879439063	0.367879439063	0.63212056093
1.10001	-5.33504044942e-41	-0.332871081565	0.332871081565	0.667128918531
1.20001	-4.43250034637e-40	-0.301194209758	0.301194209758	0.69880579104
1.30001	-6.03914636955e-41	-0.272531791171	0.272531791171	0.727468208938
1.40001	6.5805738242e-41	-0.246596961981	0.246596961981	0.753403037901
1.50001	4.18961327758e-41	-0.223130158334	0.223130158334	0.776869841591
1.60001	-5.62717937898e-40	-0.201896516765	0.201896516765	0.798103484248
1.70001	1.20159690217e-40	-0.182683522211	0.182683522211	0.817316477572
1.80001	3.97732626317e-40	-0.165298886284	0.165298886284	0.834701113
1.90001	9.57010239906e-41	-0.149568618239	0.149568618239	0.850431381588
2.00001	1.83368016001e-40	-0.135335282182	0.135335282182	0.864664717488
2.10001	-1.12048842397e-40	-0.122456427989	0.122456427989	0.877543572213
2.20001	2.79873281468e-40	-0.110803157475	0.110803157475	0.889196842021
2.30001	-2.36496055877e-40	-0.100258847288	0.100258847288	0.899741153138
2.40001	1.23423987001e-40	-0.0907179596914	0.0907179596914	0.909282040086
2.50001	-1.19716311029e-40	-0.0820850058562	0.0820850058562	0.917914994359
2.60001	3.66467294867e-41	-0.0742735848639	0.0742735848639	0.92572641507
2.70001	-3.30495149908e-40	-0.0672055224996	0.0672055224996	0.932794478096
2.80001	5.18067719516e-41	-0.0608100730936	0.0608100730936	0.939189926813
2.90001	-5.57532027708e-40	-0.0550232325296	0.0550232325296	0.944976768474
3.00000999991	2.2620872151e-159	-0.0497870797206	0.0497870797206	0.950212920279
3.00001	0.950212920279	0.7	-0.7	0.950212920279
3.10001	0.880212920279	0.7	-0.7	0.880212920279
3.20001	0.810212920279	0.7	-0.7	0.810212920279
3.30001	0.740212920279	0.7	-0.7	0.740212920279
3.40001	0.670212920279	0.7	-0.7	0.670212920279
3.50001	0.600212920279	0.7	-0.7	0.600212920279
3.60001	0.530212920279	0.7	-0.7	0.530212920279
3.70001	0.460212920279	0.7	-0.7	0.460212920279
3.80001	0.390212920279	0.7	-0.7	0.390212920279
3.90001	0.320212920279	0.7	-0.7	0.320212920279
4.00001	0.250212920279	0.7	-0.7	0.250212920279
4.10001	0.180212920279	0.7	-0.7	0.180212920279
4.20001	0.110212920279	0.7	-0.7	0.110212920279
4.30001	0.0402129202794	0.7	-0.7	0.0402129202794
4.35745702892	7.49020186153e-11	0.7	-0.7	7.49020186153e-11
4.35745702897	0.	0.	0.	0.
4.45745702897	0.	-8.61943973511e-182	8.61943973511e-182	8.32202724162e-52
4.55745702897	0.	6.13230350046e-197	-2.30450331915e-197	8.32202724162e-52
4.65745702897	0.	-4.179287358e-197	4.56989058649e-197	8.32202724162e-52
4.75745702897	0.	-1.44908782165e-196	1.14442844921e-196	8.32202724162e-52
4.85745702897	0.	-2.48024690749e-196	1.83186783978e-196	8.32202724162e-52
4.95745702897	0.	-3.51140599334e-196	2.51930723034e-196	8.32202724162e-52
5.05745702897	0.	-4.54256507918e-196	3.20674662091e-196	8.32202724162e-52
5.15745702897	0.	-5.57372416503e-196	3.89418601147e-196	8.32202724162e-52
5.25745702897	0.	-6.60488325088e-196	4.58162540203e-196	8.32202724162e-52
5.35745702897	0.	-7.63604233672e-196	5.2690647926e-196	8.32202724162e-52
5.45745702897	0.	-8.66720142257e-196	5.95650418316e-196	8.32202724162e-52
5.55745702897	0.	-9.69836050842e-196	6.64394357373e-196	8.32202724162e-52
5.65745702897	0.	-9.20397041834e-196	6.29527023974e-196	8.32202724162e-52
5.75745702897	0.	-7.43821376872e-196	5.08311830363e-196	8.32202724162e-52
5.85745702897	0.	-5.67245711911e-196	3.87096636751e-196	8.32202724162e-52
5.95745702897	0.	-3.90670046949e-196	2.6588144314e-196	8.32202724162e-52
6.	0.	-3.15549512959e-196	2.14312898439e-196	8.32202724162e-52
