time	i_C	u_C	i_D	u_D	i_L	u_L
1e-05	1.	-1.	1.	0.	1.	1.
0.10001	1.09483757641	-0.895170759521	1.09483757641	0.	1.09483757641	0.895170759521
0.20001	1.17873590832	-0.781397257316	1.17873590832	0.	1.17873590832	0.781397257316
0.30001	1.25085669857	-0.659816288925	1.25085669857	0.	1.25085669857	0.659816288925
0.40001	1.31047933954	-0.531642657908	1.31047933954	0.	1.31047933954	0.531642657907
0.50001	1.35700810417	-0.398157029182	1.35700810415	0.	1.35700810416	0.39815702919
0.60001	1.38997809243	-0.260693146863	1.38997809253	0.	1.38997809246	0.260693146822
0.70001	1.40905987911	-0.120624504927	1.40905987891	0.	1.40905987906	0.120624505017
0.80001	1.41406280564	0.0206493777069	1.41406280421	0.	1.41406280527	-0.0206493770865
0.90001	1.40493688192	0.16171693826	1.40493688589	0.	1.40493688294	-0.161716939985
1.00001	1.38177329454	0.301168675928	1.38177329418	0.	1.38177329445	-0.301168675772
1.10001	1.34480348529	0.437611235961	1.34480348519	0.	1.34480348527	-0.437611235917
1.20001	1.29439684536	0.569681329487	1.2943968448	0.	1.29439684524	-0.569681329239
1.30001	1.23105701935	0.69605935546	1.23105702012	0.	1.23105701951	-0.696059355798
1.40001	1.15541688246	0.815482588663	1.15541688202	0.	1.15541688237	-0.815482588469
1.50001	1.06823219602	0.926757786232	1.06823219474	0.	1.06823219576	-0.926757785667
1.60001	0.970374087103	1.02877312666	0.970374088277	0.	0.970374087339	-1.02877312718
1.70001	0.862820322149	1.12050930643	0.862820323001	0.	0.862820322321	-1.12050930681
1.80001	0.746645542524	1.20104972814	0.746645541773	0.	0.746645542373	-1.2010497278
1.90001	0.623010527251	1.26958965805	0.623010526022	0.	0.623010527004	-1.26958965751
2.00001	0.493150596007	1.32544426758	0.493150596	0.	0.493150596006	-1.32544426758
2.10001	0.358363267161	1.36805547521	0.358363266662	0.	0.358363267061	-1.36805547499
2.20001	0.219995291046	1.39699752485	0.219995290778	0.	0.219995290992	-1.39699752473
2.30001	0.0794291948338	1.41198123707	0.0794291949585	0.	0.0794291948589	-1.41198123713
2.35620449264	1.50923848279e-09	1.41421357014	1.50923848289e-09	-6.28682977955e-25	1.50923848074e-09	-1.41421357014
2.35620449269	2.38139423612e-10	1.41421356585	-1.02585233095e-16	-1.41421356585	1.90096636651e-10	0.
2.45620449269	2.38139423612e-10	1.41421356587	-1.02585233095e-16	-1.41421356587	1.90096636651e-10	-8.40367018515e-69
2.55620449269	2.38139423612e-10	1.4142135659	-1.02585233095e-16	-1.4142135659	1.90096636651e-10	-4.34672595784e-70
2.65620449269	2.38139423612e-10	1.41421356592	-1.02585233095e-16	-1.41421356592	1.90096636651e-10	2.4933482074e-84
2.75620449269	2.38139423612e-10	1.41421356594	-1.02585233095e-16	-1.41421356594	1.90096636651e-10	-3.53894584276e-84
2.85620449269	2.38139423612e-10	1.41421356597	-1.02585233095e-16	-1.41421356597	1.90096636651e-10	-3.20918043468e-84
2.95620449269	2.38139423612e-10	1.41421356599	-1.02585233095e-16	-1.41421356599	1.90096636651e-10	-2.20379809299e-84
3.05620449269	2.38139423612e-10	1.41421356602	-1.02585233095e-16	-1.41421356602	1.90096636651e-10	-1.1984157513e-84
3.15620449269	2.38139423612e-10	1.41421356604	-1.02585233095e-16	-1.41421356604	1.90096636651e-10	-1.93033409605e-85
3.25620449269	2.38139423612e-10	1.41421356606	-1.02585233095e-16	-1.41421356606	1.90096636651e-10	3.11642655904e-99
3.35620449269	2.38139423612e-10	1.41421356609	-1.02585233095e-16	-1.41421356609	1.90096636651e-10	2.44670738446e-99
3.45620449269	2.38139423612e-10	1.41421356611	-1.02585233095e-16	-1.41421356611	1.90096636651e-10	1.77698820988e-99
3.55620449269	2.38139423612e-10	1.41421356614	-1.02585233095e-16	-1.41421356614	1.90096636651e-10	1.1072690353e-99
3.65620449269	2.38139423612e-10	1.41421356616	-1.02585233095e-16	-1.41421356616	1.90096636651e-10	4.37549860725e-100
3.75620449269	2.38139423612e-10	1.41421356618	-1.02585233095e-16	-1.41421356618	1.90096636651e-10	-2.32169313854e-100
3.85620449269	2.38139423612e-10	1.41421356621	-1.02585233095e-16	-1.41421356621	1.90096636651e-10	-9.01888488434e-100
3.95620449269	2.38139423612e-10	1.41421356623	-1.02585233095e-16	-1.41421356623	1.90096636651e-10	-1.57160766301e-99
4.	2.38139423612e-10	1.41421356624	-1.02585233095e-16	-1.41421356624	1.90096636651e-10	4.06070693971e-115
