time	i_D	u_D	u_L	i_L
1e-05	0.	-1.	1.	0.
0.10001	0.	-1.	0.904837426496	0.0951625735037
0.20001	0.	-1.	0.818730759686	0.181269240314
0.30001	0.	-1.	0.74081822277	0.25918177723
0.40001	0.	-1.	0.670320046508	0.329679953492
0.50001	0.	-1.	0.606530662915	0.393469337085
0.60001	0.	-1.	0.548811637832	0.451188362168
0.70001	0.	-1.	0.496585304817	0.503414695183
0.80001	0.	-1.	0.449328963445	0.550671036555
0.90001	0.	-1.	0.406569658802	0.593430341198
1.00001	0.	-1.	0.367879439071	0.63212056093
1.10001	0.	-1.	0.33287108145	0.667128918531
1.20001	0.	-1.	0.30119420882	0.698805791059
1.30001	0.	-1.	0.272531789598	0.727468209782
1.40001	0.	-1.	0.246596961475	0.753403038285
1.50001	0.	-1.	0.22313015731	0.776869842393
1.60001	0.	-1.	0.201896515567	0.798103483712
1.70001	0.	-1.	0.182683524306	0.817316475868
1.80001	0.	-1.	0.165298889588	0.834701110933
1.90001	0.	-1.	0.149568622989	0.8504313773
2.00001	0.	-1.	0.135335287795	0.864664713145
2.10001	0.	-1.	0.122456432186	0.877543567478
2.20001	0.	-1.	0.110803163318	0.889196836719
2.30001	0.	-1.	0.100258848279	0.899741151586
2.40001	0.	-1.	0.0907179593343	0.909282040816
2.50001	0.	-1.	0.0820850047626	0.917914995688
2.60001	0.	-1.	0.0742735835585	0.925726416189
2.70001	0.	-1.	0.0672055198868	0.932794480332
2.80001	0.	-1.	0.0608100705171	0.939189929469
2.90001	0.	-1.	0.055023230178	0.9449767704
3.00001	0.950214571462	0.7	-1.65021457146	0.950214571462
3.10001	0.793175880915	0.7	-1.49317588092	0.793175880915
3.20001	0.651081404265	0.7	-1.35108140427	0.651081404265
3.30001	0.522509006257	0.7	-1.22250900626	0.522509006257
3.40001	0.406171892912	0.7	-1.10617189291	0.406171892912
3.50001	0.300905721385	0.7	-1.00090572138	0.300905721385
3.60001	0.205656951022	0.7	-0.905656951022	0.205656951022
3.70001	0.119472299153	0.7	-0.819472299153	0.119472299153
3.80001	0.041489201095	0.7	-0.741489201095	0.041489201095
3.85759026429	0.	-7.7049477909e-14	7.7049477909e-14	-7.70571046962e-17
3.95759026429	7.75533149877e-37	2.23488571934e-17	-8.43280911795e-184	-7.70571046962e-17
4.05759026429	7.75533149877e-37	2.23488571934e-17	2.87366948358e-199	-7.70571046962e-17
4.15759026429	7.75533149877e-37	2.23488571934e-17	-6.98923421872e-199	-7.70571046962e-17
4.25759026429	7.75533149877e-37	2.23488571934e-17	-3.74491953801e-199	-7.70571046962e-17
4.35759026429	7.75533149877e-37	2.23488571934e-17	-5.00604857291e-200	-7.70571046962e-17
4.45759026429	7.75533149877e-37	2.23488571934e-17	5.59846103953e-214	-7.70571046962e-17
4.55759026429	7.75533149877e-37	2.23488571934e-17	3.43731332493e-214	-7.70571046962e-17
4.65759026429	7.75533149877e-37	2.23488571934e-17	1.27616561034e-214	-7.70571046962e-17
4.75759026429	7.75533149877e-37	2.23488571934e-17	-8.8498210426e-215	-7.70571046962e-17
4.85759026429	7.75533149877e-37	2.23488571934e-17	-3.04612981886e-214	-7.70571046962e-17
4.95759026429	7.75533149877e-37	2.23488571934e-17	-3.46403478741e-214	-7.70571046962e-17
5.05759026429	7.75533149877e-37	2.23488571934e-17	-3.10384350165e-214	-7.70571046962e-17
5.15759026429	7.75533149877e-37	2.23488571934e-17	-2.74365221588e-214	-7.70571046962e-17
5.25759026429	7.75533149877e-37	2.23488571934e-17	-2.38346093012e-214	-7.70571046962e-17
5.35759026429	7.75533149877e-37	2.23488571934e-17	-2.02326964435e-214	-7.70571046962e-17
5.45759026429	7.75533149877e-37	2.23488571934e-17	-1.66307835859e-214	-7.70571046962e-17
5.55759026429	7.75533149877e-37	2.23488571934e-17	-1.30288707282e-214	-7.70571046962e-17
5.65759026429	7.75533149877e-37	2.23488571934e-17	-9.42695787053e-215	-7.70571046962e-17
5.75759026429	7.75533149877e-37	2.23488571934e-17	-5.82504501287e-215	-7.70571046962e-17
5.85759026429	7.75533149877e-37	2.23488571934e-17	-2.22313215521e-215	-7.70571046962e-17
5.95759026429	7.75533149877e-37	2.23488571934e-17	-2.444565801e-231	-7.70571046962e-17
6.	7.75533149877e-37	2.23488571934e-17	-5.15291901568e-231	-7.70571046962e-17
