time	omega_1	omega_2	tau_1	tau_2	armean
1e-05	3.	5.	0.	0.	3.75
0.10001	2.91716510032	4.83608050267	0.	0.	3.6367583762
0.20001	2.83661741414	4.6775349473	0.	0.	3.52696148908
0.30001	2.75829377625	4.52418711693	0.	0.	3.420503779
0.40001	2.68213277883	4.37586661607	0.	0.	3.3172829678
0.50001	2.60807471183	4.23240864257	0.	0.	3.21719993586
0.60001	2.53606150901	4.09365378093	0.	0.	3.12015861098
0.70001	2.46603670849	3.95944784572	0.	0.	3.02606588495
0.80001	2.39794540804	3.82964170758	0.	0.	2.93483152037
0.90001	2.33173421939	3.7040911193	0.	0.	2.84636805686
1.00001	2.26735122894	3.58265656596	0.	0.	2.76059073032
1.10001	2.2047459583	3.46520311307	0.	0.	2.67741739134
1.20001	2.14386932256	3.35160024641	0.	0.	2.596768419
1.30001	2.08467358979	3.2417217217	0.	0.	2.51856663925
1.40001	2.02711234686	3.13544544028	0.	0.	2.44273725689
1.50001	1.97114046378	3.03265331212	0.	0.	2.36920778191
1.60001	1.91671405697	2.93323111482	0.	0.	2.29790795366
1.70001	1.86379045235	2.83706836278	0.	0.	2.22876966876
1.80001	1.81232815396	2.74405819731	0.	0.	2.16172692022
1.90001	1.76228681333	2.65409726931	0.	0.	2.09671573433
2.00001	2.03367428673	2.03367428673	-0.101683714336	0.101683714336	2.03367428673
2.10001	1.97357012594	1.97357012594	-0.0986785062972	0.0986785062972	1.97357012594
2.20001	1.91524232059	1.91524232059	-0.0957621160295	0.0957621160295	1.91524232059
2.30001	1.85863836546	1.85863836546	-0.0929319182728	0.0929319182728	1.85863836546
2.40001	1.80370730063	1.80370730063	-0.0901853650316	0.0901853650316	1.80370730063
2.50001	1.75039969417	1.75039969417	-0.0875199847086	0.0875199847086	1.75039969417
2.60001	1.69866756649	1.69866756649	-0.0849333783246	0.0849333783246	1.69866756649
2.70001	1.64846435113	1.64846435113	-0.0824232175565	0.0824232175565	1.64846435113
2.80001	1.59974486524	1.59974486524	-0.0799872432622	0.0799872432622	1.59974486524
2.90001	1.55246525857	1.55246525857	-0.0776232629285	0.0776232629285	1.55246525857
3.00001	1.50658297495	1.50658297495	-0.0753291487475	0.0753291487475	1.50658297495
3.10001	1.46205671787	1.46205671787	-0.0731028358936	0.0731028358936	1.46205671787
3.20001	1.41884641118	1.41884641118	-0.070942320559	0.070942320559	1.41884641118
3.30001	1.37691316269	1.37691316269	-0.0688456581344	0.0688456581344	1.37691316269
3.40001	1.3362192289	1.3362192289	-0.066810961445	0.066810961445	1.3362192289
3.50001	1.2967279827	1.2967279827	-0.0648363991349	0.0648363991348	1.2967279827
3.60001	1.25840387799	1.25840387799	-0.0629201938993	0.0629201938994	1.25840387799
3.70001	1.22121242195	1.22121242195	-0.0610606210971	0.0610606210973	1.22121242195
3.80001	1.1851201404	1.1851201404	-0.0592560070209	0.05925600702	1.1851201404
3.90001	1.15009454752	1.15009454752	-0.0575047273745	0.0575047273763	1.15009454752
4.00001	1.11610420449	1.116104241	0.	0.	1.11610421818
4.10001	1.08528674031	1.0795139847	0.	0.	1.08312195695
4.20001	1.05532020297	1.04412331071	0.	0.	1.05112136838
4.30001	1.02618108923	1.00989287816	0.	0.	1.02007301008
4.40001	0.997846553186	0.976784651036	0.	0.	0.98994833988
4.50001	0.970294380066	0.944761840937	0.	0.	0.960719677893
4.60001	0.943502967435	0.913788863435	0.	0.	0.932360178435
4.70001	0.917451309426	0.883831300865	0.	0.	0.904843806216
4.80001	0.892118980419	0.854855864407	0.	0.	0.878145311915
4.90001	0.867486118447	0.826830355851	0.	0.	0.852240207473
5.00001	0.843533409985	0.799723632661	0.	0.	0.827104743488
5.10001	0.820242074897	0.77350557351	0.	0.	0.802715886877
5.20001	0.797593851624	0.748147044606	0.	0.	0.779051298992
5.30001	0.775570982796	0.723619867187	0.	0.	0.756089314443
5.40001	0.754156201337	0.69989678627	0.	0.	0.733808920687
5.50001	0.73333271696	0.676951440433	0.	0.	0.712189738263
5.60001	0.713084202998	0.654758332516	0.	0.	0.691212001568
5.70001	0.69339478358	0.633292801225	0.	0.	0.670856540196
5.80001	0.674249021187	0.612530993752	0.	0.	0.651104760899
5.90001	0.655631904561	0.592449839282	0.	0.	0.631938630081
6.	0.637530621993	0.573028933403	0.	0.	0.613342488772
