time	i	u_C	u_L
1e-05	-1.00000001	-0.999999990005	0.999999990005
0.10001	-1.09481118845	-0.89516712443	0.89516712443
0.20001	-1.17870307871	-0.781407028766	0.781407028766
0.30001	-1.25082766209	-0.659822655149	0.659822655149
0.40001	-1.31044562394	-0.531650829254	0.531650829254
0.50001	-1.35697074124	-0.398170891467	0.398170891467
0.60001	-1.3899403669	-0.260711532441	0.260711532441
0.70001	-1.40902387853	-0.120645293317	0.120645293317
0.80001	-1.41402965991	0.0206274367412	-0.0206274367412
0.90001	-1.40490629244	0.161693957655	-0.161693957655
1.00001	-1.38174499976	0.301144639459	-0.301144639459
1.10001	-1.34477749814	0.437585329225	-0.437585329225
1.20001	-1.29437300521	0.569653136447	-0.569653136447
1.30001	-1.23103470357	0.696030243933	-0.696030243933
1.40001	-1.15539640883	0.815451617702	-0.815451617702
1.50001	-1.06821443869	0.926724190801	-0.926724190801
1.60001	-0.970361855962	1.02873583084	-1.02873583084
1.70001	-0.862816243363	1.12046947383	-1.12046947383
1.80001	-0.746650320362	1.20100974166	-1.20100974166
1.90001	-0.623023216589	1.26955408955	-1.26955408955
2.00001	-0.493168284781	1.32541614774	-1.32541614774
2.10001	-0.358383132692	1.36803483621	-1.36803483621
2.20001	-0.220016584787	1.39698182411	-1.39698182411
2.30001	-0.0794539680483	1.41196770231	-1.41196770231
2.40001	0.0619002774729	1.41284475472	-1.41284475472
2.50001	0.202634522723	1.39960856589	-1.39960856589
2.60001	0.341347037458	1.37239387205	-1.37239387205
2.70001	0.476653689157	1.33146945168	-1.33146945168
2.80001	0.607203135405	1.27724050929	-1.27724050929
2.90001	0.731686373576	1.21024318416	-1.21024318416
3.00001	0.848855525372	1.13114735369	-1.13114735369
3.10001	0.957536996034	1.04074709737	-1.04074709737
3.20001	1.05664814037	0.939954214264	-0.939954214264
3.30001	1.14520255959	0.829772031344	-0.829772031344
3.40001	1.2223205962	0.711300520203	-0.711300520203
3.50001	1.28723365027	0.585718355661	-0.585718355661
3.60001	1.33928719884	0.454279229927	-0.454279229927
3.70001	1.3779553087	0.318297719026	-0.318297719026
3.80001	1.40284624101	0.179138891412	-0.179138891412
3.90001	1.41371650145	0.0381926540124	-0.0381926540124
4.	1.41046626831	-0.103118477165	0.103118477165
