time	omega_1	tau_1	omega_2	tau_2
1e-05	2.99999999398	0.	4.99999998352	0.
0.10001	2.94062129298	0.	4.83619558459	0.
0.20001	2.88239011265	0.	4.67762505084	0.
0.30001	2.82531016805	0.	4.5242394508	0.
0.40001	2.76936056099	0.	4.37588263148	0.
0.50001	2.7145188736	0.	4.23239022652	0.
0.60001	2.66076511108	0.	4.09361738441	0.
0.70001	2.60807838408	0.	3.95941362999	0.
0.80001	2.55643628903	0.	3.82961859008	0.
0.90001	2.5058172274	0.	3.70408169191	0.
1.00001	2.45619986753	0.	3.58265398798	0.
1.10001	2.40756523178	0.	3.46521143476	0.
1.20001	2.35989313003	0.	3.35161628733	0.
1.30001	2.31316503409	0.	3.24174614147	0.
1.40001	2.26736193164	0.	3.13547569921	0.
1.50001	2.2224657942	0.	3.03268947583	0.
1.60001	2.17845860213	0.	2.93327243173	0.
1.70001	2.13532272763	0.	2.83711373319	0.
1.80001	2.09304111953	0.	2.74410862076	0.
1.90001	2.05159652285	0.	2.65415018685	0.
2.00001	2.01097263695	0.	2.56714109895	0.
2.10001	1.9711530328	0.	2.48298278238	0.
2.20001	1.93212171132	0.	2.40158102493	0.
2.30001	1.89386304583	0.	2.32284532488	0.
2.40001	1.85636191383	0.	2.24669005019	0.
2.50001	1.81960331539	0.	2.17303106054	0.
2.60001	1.78357266407	0.	2.10178828267	0.
2.70001	1.74825542692	0.	2.03288073226	0.
2.80001	1.71363734897	0.	1.96622990763	0.
2.90001	1.67970477132	0.	1.90176459809	0.
3.00000999991	1.64644376537	0.	1.83941411637	0.
3.00002	1.71880775442	-0.214850969303	1.71880775442	0.214850969303
3.10002	1.67639271951	-0.209549089938	1.67639271951	0.209549089938
3.20002	1.63500166919	-0.204375208649	1.63500166919	0.204375208649
3.30002	1.59462854365	-0.199328567957	1.59462854365	0.199328567957
3.40002	1.55525222232	-0.19440652779	1.55525222232	0.19440652779
3.50002	1.51684807453	-0.189606009317	1.51684807453	0.189606009317
3.60002	1.47939372623	-0.184924215779	1.47939372623	0.184924215779
3.70002	1.44286710621	-0.180358388277	1.44286710621	0.180358388277
3.80002	1.40724384145	-0.175905480182	1.40724384145	0.175905480182
3.90002	1.37250075895	-0.171562594869	1.37250075895	0.171562594869
4.00002	1.33861488024	-0.16732686003	1.33861488024	0.16732686003
4.10002	1.30556765258	-0.163195956572	1.30556765258	0.163195956572
4.20002	1.27333747608	-0.15916718451	1.27333747608	0.15916718451
4.30002	1.24190346052	-0.155237932565	1.24190346052	0.155237932565
4.40002	1.21124615272	-0.15140576909	1.21124615272	0.15140576909
4.50002	1.1813447083	-0.147668088538	1.1813447083	0.147668088538
4.60002	1.15217938794	-0.144022423492	1.15217938794	0.144022423492
4.70002	1.12373677527	-0.140467096909	1.12373677527	0.140467096909
4.80002	1.09599566529	-0.136999458162	1.09599566529	0.136999458162
4.90002	1.06893883143	-0.133617353928	1.06893883143	0.133617353928
5.00002	1.04255114682	-0.130318893352	1.04255114682	0.130318893352
5.10002	1.01681379982	-0.127101724978	1.01681379982	0.127101724978
5.20002	0.991711991753	-0.123963998969	0.991711991753	0.123963998969
5.30002	0.967230527492	-0.120903815936	0.967230527492	0.120903815936
5.40002	0.943352197714	-0.117919024714	0.943352197714	0.117919024714
5.50002	0.920064417192	-0.115008052149	0.920064417192	0.115008052149
5.60002	0.897351431272	-0.112168928909	0.897351431272	0.112168928909
5.70002	0.875197925681	-0.10939974071	0.875197925681	0.10939974071
5.80002	0.853591502907	-0.106698937863	0.853591502907	0.106698937863
5.90002	0.832517677283	-0.10406470966	0.832517677283	0.10406470966
6.	0.811967127218	-0.101495890902	0.811967127218	0.101495890902
