time	y	v	a
1.22001	2.69914306336	-11.9682	-9.81
1.23001	2.57897056693	-12.0663	-9.81
1.24001	2.45781707047	-12.1644	-9.81
1.25001	2.33568257396	-12.2625	-9.81
1.26001	2.21256707741	-12.3606	-9.81
1.27001	2.08847058083	-12.4587	-9.81
1.28001	1.9633930842	-12.5568	-9.81
1.29001	1.83733458753	-12.6549	-9.81
1.30001	1.71029509082	-12.753	-9.81
1.31001	1.58227459407	-12.8511	-9.81
1.32001	1.45327309728	-12.9492	-9.81
1.33001	1.32329060045	-13.0473	-9.81
1.34001	1.19232710357	-13.1454	-9.81
1.35001	1.06038260666	-13.2435	-9.81
1.36001	0.927457109708	-13.3416	-9.81
1.37001	0.793550612714	-13.4397	-9.81
1.38001	0.65866311568	-13.5378	-9.81
1.39001	0.522794618604	-13.6359	-9.81
1.40001	0.385945121488	-13.734	-9.81
1.41001	0.248114624332	-13.8321	-9.81
1.42001	0.109303127134	-13.9302	-9.81
1.42783492681	1.03495240759e-09	-14.006962532	-9.81
1.42784492704	1.03495240507e-09	9.8048737724	1.35525271561e-20
1.42784594678	9.99877957487e-06	9.8048737724	1.00003924096e-174
1.42785594684	1.88779574873e-07	9.8048737724	-9.81
1.43785594684	0.0975584263947	9.7067737724	-9.81
1.44785594684	0.194135664107	9.6086737724	-9.81
1.45785594684	0.289731901824	9.5105737724	-9.81
1.46785594684	0.384347139542	9.4124737724	-9.81
1.47785594684	0.477981377262	9.3143737724	-9.81
1.48785594684	0.570634614983	9.2162737724	-9.81
1.49785594684	0.662306852704	9.1181737724	-9.81
1.50785594684	0.752998090425	9.0200737724	-9.81
1.51785594684	0.842708328147	8.9219737724	-9.81
1.52785594684	0.931437565869	8.8238737724	-9.81
1.53785594684	1.01918580359	8.7257737724	-9.81
1.54785594684	1.10595304131	8.6276737724	-9.81
1.55785594684	1.19173927904	8.5295737724	-9.81
1.56785594684	1.27654451676	8.4314737724	-9.81
1.57785594684	1.36036875448	8.3333737724	-9.81
1.58785594684	1.4432119922	8.2352737724	-9.81
1.59785594684	1.52507422993	8.1371737724	-9.81
1.60785594684	1.60595546765	8.0390737724	-9.81
1.61785594684	1.68585570537	7.9409737724	-9.81
1.62785594684	1.76477494309	7.8428737724	-9.81
1.63785594684	1.84271318082	7.7447737724	-9.81
1.64785594684	1.91967041854	7.6466737724	-9.81
1.65785594684	1.99564665626	7.5485737724	-9.81
1.66785594684	2.07064189399	7.4504737724	-9.81
1.67785594684	2.14465613171	7.3523737724	-9.81
1.68785594684	2.21768936943	7.2542737724	-9.81
1.69785594684	2.28974160716	7.1561737724	-9.81
1.70785594684	2.36081284488	7.0580737724	-9.81
1.71785594684	2.4309030826	6.9599737724	-9.81
1.72785594684	2.50001232032	6.8618737724	-9.81
1.73785594684	2.56814055805	6.7637737724	-9.81
1.74785594684	2.63528779577	6.6656737724	-9.81
