time	x	y	vx	vy	ax	ay	t
1e-05	2.12136947998	2.121271206	0.	0.	4.90499999509	-4.90522723329	?
0.01001	2.12164327393	2.12099735019	0.0490454497991	-0.0490620858417	4.90386662128	-4.90762634281	?
0.02001	2.12237962263	2.12026045291	0.0980680379807	-0.0981704440382	4.90045624097	-4.9144366547	?
0.03001	2.12360536205	2.11903254904	0.147043754105	-0.147372269823	4.89476218959	-4.92577756642	?
0.04001	2.12532035005	2.11731212298	0.195951132236	-0.196709900724	4.88676090494	-4.94165243875	?
0.05001	2.12752394565	2.11509747181	0.244767767551	-0.246227014999	4.8764217108	-4.96206075223	?
0.06001	2.13021519826	2.11238665574	0.293470593628	-0.295968054314	4.86370809077	-4.98699582129	?
0.07001	2.13339289109	2.10917724697	0.342034914775	-0.345979891847	4.84857231209	-5.01646037926	?
0.08001	2.13705550648	2.10546628831	0.390435414789	-0.396309515763	4.83096103985	-5.05044510483	?
0.09001	2.14120123557	2.10125030744	0.438646708698	-0.447002700887	4.81081182015	-5.08894320956	?
0.10001	2.14582799786	2.0965253468	0.486643206883	-0.498104051875	4.78804710188	-5.1319746078	?
0.11001	2.15093343664	2.09128696541	0.534398626691	-0.549657722712	4.76260264952	-5.17947287803	?
0.12001	2.15651510583	2.08553058582	0.581885916839	-0.601708620518	4.73435552857	-5.23149377267	?
0.13001	2.16257015081	2.07925096218	0.62907645521	-0.654301879883	4.70325546355	-5.28795600447	?
0.14001	2.1690954667	2.07244246368	0.675940887606	-0.707482308164	4.66916222635	-5.34888833375	?
0.15001	2.17608772411	2.0650991211	0.722449035897	-0.761294560019	4.63195432219	-5.41428776183	?
0.16001	2.18354307825	2.05721422117	0.768568819995	-0.815782905248	4.59151784929	-5.48412232847	?
0.17001	2.19145740719	2.04878066695	0.81426709649	-0.870991419488	4.54773867634	-5.55834825114	?
0.18001	2.19982623267	2.03979096738	0.859509112659	-0.926964018401	4.50045660835	-5.63695251887	?
0.19001	2.20864495468	2.03023744445	0.904259633361	-0.983744428251	4.44951850685	-5.71990997686	?
0.20001	2.21790851436	2.02011183583	0.948481478418	-1.04137601185	4.39474594697	-5.80720117291	?
0.21001	2.22761123	2.00940522381	0.992134725406	-1.09990154556	4.33597625133	-5.89876959235	?
0.22001	2.23774755789	1.998108847	1.03518005505	-1.1593638954	4.27304076003	-5.9945711179	?
0.23001	2.24831097534	1.98621287272	1.07757388065	-1.21980490002	4.20576115654	-6.09454082766	?
0.24001	2.25929513494	1.97370770142	1.11927335161	-1.28126647122	4.13394242642	-6.19862318081	?
0.25001	2.27069296083	1.96058299319	1.16023240161	-1.34378963211	4.05736352817	-6.30675555874	?
0.26001	2.28249647133	1.94682767005	1.20040078781	-1.40741435408	3.97578638609	-6.41889634831	?
0.27001	2.29469746592	1.93243043385	1.23972739308	-1.47218015934	3.88898253073	-6.53497092668	?
0.28001	2.30728745201	1.91737978832	1.27815996084	-1.53812580349	3.79677604716	-6.65483481176	?
0.29001	2.32025715043	1.90166368844	1.3156426239	-1.60528887464	3.69889497469	-6.77841370114	?
0.30001	2.33359678052	1.88526976492	1.35211733435	-1.6737060145	3.59506725781	-6.90561233692	?
0.31001	2.3472958884	1.86818526779	1.38752306866	-1.7434126834	3.48503253043	-7.03630236193	?
0.32001	2.36134344915	1.85039712394	1.42179643357	-1.81444306666	3.36853264559	-7.17034618171	?
0.33001	2.37572780112	1.83189191475	1.45487130657	-1.88683005302	3.24529682907	-7.30759459332	?
0.34001	2.39043661825	1.81265591978	1.48667884147	-1.96060492686	3.11502605944	-7.44789453107	?
0.35001	2.4054568606	1.7926751163	1.51714723443	-2.03579722115	2.97743017958	-7.59106121111	?
0.36001	2.42077478699	1.77193518457	1.54620183174	-2.11243476202	2.8322094758	-7.73690293704	?
0.37001	2.436375871	1.75042154343	1.57376488244	-2.1905432833	2.67906525557	-7.88521792364	?
0.38001	2.45224478538	1.72811937055	1.59975550529	-2.27014628809	2.5176760009	-8.03577238478	?
0.39001	2.46836540009	1.70501360533	1.62408971259	-2.35126502569	2.34772314939	-8.18831942544	?
0.40001	2.4847207161	1.68108899418	1.64668026765	-2.43391811212	2.1688874524	-8.34259238032	?
0.41001	2.50129283733	1.65633011992	1.66743669473	-2.51812133811	1.98084282332	-8.49830561435	?
0.42001	2.51806292075	1.63072145058	1.68626523406	-2.60388728178	1.78326111445	-8.65514614391	?
0.43001	2.53501114415	1.60424736592	1.70306880337	-2.69122510947	1.57581142941	-8.81277393293	?
0.44001	2.55211677511	1.57689209507	1.71774706402	-2.78014105106	1.35815962437	-8.97082662091	?
0.45001	2.56935802204	1.54863987621	1.73019633816	-2.87063730768	1.12997206162	-9.12892478039	?
0.46001	2.58671218256	1.51947479043	1.74030967492	-2.96271315567	0.890911050567	-9.28666153745	?
0.47001	2.60415549605	1.4893809194	1.74797680682	-3.05636383467	0.640643076404	-9.44360017355	?
0.48001	2.62166280358	1.45834269815	1.75308406941	-3.15157796908	0.378861814959	-9.59925210531	?
0.49001	2.63920806948	1.42634441438	1.75551466933	-3.24834139384	0.105239721731	-9.75312493481	?
0.50001	2.65676362999	1.39337102625	1.7551486601	-3.34663132438	-0.180533521804	-9.90468421992	?
0.51001	2.67430101139	1.35940725761	1.75186310755	-3.44642259699	-0.478750714939	-10.0533605306	?
0.52001	2.6917904801	1.32443813002	1.74553220067	-3.54768406467	-0.78968391053	-10.1985455027	?
0.53001	2.70920090197	1.28844916215	1.73602720766	-3.65037753004	-1.11361311602	-10.3396124954	?
