time	i_D	u_D	u_L	i
1e-05	0.	-0.999999990005	0.999999990005	9.99999993923e-09
0.10001	0.	-0.904840767805	0.904840767805	0.0951592321953
0.20001	0.	-0.818734223806	0.818734223806	0.181265776194
0.30001	0.	-0.740827184118	0.740827184118	0.259172815882
0.40001	0.	-0.670332975529	0.670332975529	0.329667024471
0.50001	0.	-0.606546664468	0.606546664468	0.393453335532
0.60001	0.	-0.548829591594	0.548829591594	0.451170408406
0.70001	0.	-0.496601264288	0.496601264288	0.503398735712
0.80001	0.	-0.449340838272	0.449340838272	0.550659161728
0.90001	0.	-0.406579639994	0.406579639994	0.593420360006
1.00001	0.	-0.367891456566	0.367891456566	0.632108543434
1.10001	0.	-0.332888358319	0.332888358319	0.667111641681
1.20001	0.	-0.301215504163	0.301215504163	0.698784495837
1.30001	0.	-0.272553097078	0.272553097078	0.727446902922
1.40001	0.	-0.24661541619	0.24661541619	0.75338458381
1.50001	0.	-0.223144183905	0.223144183905	0.776855816095
1.60001	0.	-0.201904519871	0.201904519871	0.798095480129
1.70001	0.	-0.182684354311	0.182684354311	0.817315645689
1.80001	0.	-0.165294650894	0.165294650894	0.834705349106
1.90001	0.	-0.149559437465	0.149559437465	0.850440562535
2.00001	0.	-0.135321257559	0.135321257559	0.864678742441
2.10001	0.	-0.122440458748	0.122440458749	0.877559541252
2.20001	0.	-0.110786180291	0.110786180291	0.889213819709
2.30001	0.	-0.100242132031	0.100242132031	0.899757867969
2.40001	0.	-0.0907007240416	0.0907007240418	0.909299275958
2.50001	0.	-0.0820667832651	0.0820667832659	0.917933216735
2.60001	0.	-0.0742550327891	0.0742550327898	0.925744967211
2.70001	0.	-0.0671856497294	0.0671856497294	0.932814350271
2.80001	0.	-0.0607889692824	0.0607889692814	0.939211030718
2.90001	0.	-0.0550016862665	0.0550016862656	0.944998313734
3.00000999991	0.	-0.049765891512	0.049765891512	0.950234108488
3.00002	0.950234108488	0.7	-0.7	0.950234108488
3.10002	0.880234108488	0.7	-0.7	0.880234108488
3.20002	0.810234108488	0.7	-0.7	0.810234108488
3.30002	0.740234108488	0.7	-0.7	0.740234108488
3.40002	0.670234108488	0.7	-0.7	0.670234108488
3.50002	0.600234108488	0.7	-0.7	0.600234108488
3.60002	0.530234108488	0.7	-0.7	0.530234108488
3.70002	0.460234108488	0.7	-0.7	0.460234108488
3.80002	0.390234108488	0.7	-0.7	0.390234108488
3.90002	0.320234108488	0.7	-0.7	0.320234108488
4.00002	0.250234108488	0.7	-0.7	0.250234108488
4.10002	0.180234108488	0.7	-0.7	0.180234108488
4.20002	0.110234108488	0.7	-0.7	0.110234108488
4.30002	0.040234108488	0.7	-0.7	0.040234108488
4.35749729779	7.48902797415e-11	0.7	-0.7	7.48902797415e-11
4.35750729784	0.	0.	0.	0.
4.45750729784	0.	-5.52960287931e-86	5.52960287931e-86	-4.17420201891e-152
4.55750729784	0.	-3.01614702508e-87	3.01614702508e-87	-4.17420201891e-152
4.65750729784	0.	1.73010786766e-101	-1.73010786766e-101	-4.17420201891e-152
4.75750729784	0.	-2.45563697346e-101	2.45563697346e-101	-4.17420201891e-152
4.85750729784	0.	-2.22681625548e-101	2.22681625548e-101	-4.17420201891e-152
4.95750729784	0.	-1.52919211529e-101	1.52919211529e-101	-4.17420201891e-152
5.05750729784	0.	-8.31567975103e-102	8.31567975103e-102	-4.17420201891e-152
5.15750729784	0.	-1.33943834916e-102	1.33943834916e-102	-4.17420201891e-152
5.25750729784	0.	2.16245532525e-116	-2.16245532525e-116	-4.17420201891e-152
5.35750729784	0.	1.69774429547e-116	-1.69774429547e-116	-4.17420201891e-152
5.45750729784	0.	1.23303326569e-116	-1.23303326569e-116	-4.17420201891e-152
5.55750729784	0.	7.68322235906e-117	-7.68322235906e-117	-4.17420201891e-152
5.65750729784	0.	3.03611206124e-117	-3.03611206124e-117	-4.17420201891e-152
5.75750729784	0.	-1.61099823658e-117	1.61099823658e-117	-4.17420201891e-152
5.85750729784	0.	-6.2581085344e-117	6.2581085344e-117	-4.17420201891e-152
5.95750729784	0.	-1.09052188322e-116	1.09052188322e-116	-4.17420201891e-152
6.	0.	2.81768146295e-132	-2.81768146295e-132	-4.17420201891e-152
